level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1042	1310	-1	
2	1	1	0	0	0	42	28	60	26	-1	
3	1	1	1	0	0	42	28	60	26	-1	
4	1	1	1	1	0	42	28	60	26	-1	
5	1	1	1	1	1	42	28	60	26	34.053467	BK
2	1	2	0	0	0	44	99	450	572	-1	
3	1	2	1	0	0	53	99	91	37	-1	
4	1	2	1	1	0	53	99	91	37	-1	
5	1	2	1	1	1	53	99	22	32	51.866074	fl
5	1	2	1	1	2	97	104	47	32	51.357872	git
3	1	2	2	0	0	44	144	450	208	-1	
4	1	2	2	1	0	44	144	336	50	-1	
5	1	2	2	1	1	44	144	5	50	56.874043	|
5	1	2	2	1	2	60	144	26	50	42.842583	al
5	1	2	2	1	3	97	158	283	32	80.074493	check_selection.ps1
4	1	2	2	2	0	60	198	338	50	-1	
5	1	2	2	2	1	60	198	26	50	52.751789	al
5	1	2	2	2	2	97	212	301	32	86.661316	check_selection2.ps1
4	1	2	2	3	0	48	256	446	42	-1	
5	1	2	2	3	1	48	256	33	38	0.000000	B.
5	1	2	2	3	2	97	270	49	28	0.000000	get
5	1	2	2	3	3	163	266	115	32	0.000000	weather
5	1	2	2	3	4	294	252	200	51	74.647499	tomorrow.ps1
4	1	2	2	4	0	51	312	272	40	-1	
5	1	2	2	4	1	51	312	30	34	92.697815	B
5	1	2	2	4	2	98	320	60	32	53.195480	long
5	1	2	2	4	3	165	320	158	32	53.195480	_page.html
3	1	2	3	0	0	52	366	220	44	-1	
4	1	2	3	1	0	52	366	220	44	-1	
5	1	2	3	1	1	52	366	28	36	90.796234	B
5	1	2	3	1	2	98	370	174	40	90.918747	memory.md
3	1	2	4	0	0	48	418	242	42	-1	
4	1	2	4	1	0	48	418	242	42	-1	
5	1	2	4	1	1	48	418	33	38	93.221985	B
5	1	2	4	1	2	85	414	72	50	65.995819	shift
5	1	2	4	1	3	168	428	122	32	57.474781	click.pst
3	1	2	5	0	0	48	472	260	42	-1	
4	1	2	5	1	0	48	472	260	42	-1	
5	1	2	5	1	1	48	472	33	38	93.175110	B
5	1	2	5	1	2	85	468	76	50	65.929520	shift
5	1	2	5	1	3	173	468	135	50	65.929520	click2.ps1
3	1	2	6	0	0	48	526	260	42	-1	
4	1	2	6	1	0	48	526	260	42	-1	
5	1	2	6	1	1	48	526	33	38	93.146713	B
