level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1920	1080	-1	
2	1	1	0	0	0	280	49	139	26	-1	
3	1	1	1	0	0	280	49	139	26	-1	
4	1	1	1	1	0	280	49	139	26	-1	
5	1	1	1	1	1	280	49	139	26	95.000000	 
2	1	2	0	0	0	3	3	633	755	-1	
3	1	2	1	0	0	3	3	633	755	-1	
4	1	2	1	1	0	3	3	633	141	-1	
5	1	2	1	1	1	3	3	633	141	95.000000	  
4	1	2	1	2	0	3	144	633	441	-1	
5	1	2	1	2	1	3	144	633	441	95.000000	  
4	1	2	1	3	0	98	585	538	173	-1	
5	1	2	1	3	1	98	585	538	173	95.000000	 
2	1	3	0	0	0	118	151	201	32	-1	
3	1	3	1	0	0	118	151	201	32	-1	
4	1	3	1	1	0	118	151	201	32	-1	
5	1	3	1	1	1	118	151	30	32	24.699570	|B
5	1	3	1	1	2	159	157	94	13	0.633919	BRED:
5	1	3	1	1	3	263	156	56	14	35.492584	Bh.
2	1	4	0	0	0	123	206	134	16	-1	
3	1	4	1	0	0	123	206	160	16	-1	
4	1	4	1	1	0	123	206	134	16	-1	
5	1	4	1	1	1	123	206	13	16	51.203423	B
5	1	4	1	1	2	147	206	110	16	0.000000	AZH+HE:
5	1	4	1	1	3	269	217	14	3	73.783356	...
2	1	5	0	0	0	413	265	157	51	-1	
3	1	5	1	0	0	413	265	157	51	-1	
4	1	5	1	1	0	431	265	139	45	-1	
5	1	5	1	1	1	431	269	48	17	36.289349	TM
5	1	5	1	1	2	495	265	56	45	0.000000	AEst|
5	1	5	1	1	3	553	269	17	17	0.000000	&
4	1	5	1	2	0	413	299	68	17	-1	
5	1	5	1	2	1	413	299	26	17	31.514214	He
5	1	5	1	2	2	459	299	22	16	32.580597	Set
2	1	6	0	0	0	4	513	576	145	-1	
3	1	6	1	0	0	4	513	576	145	-1	
4	1	6	1	1	0	477	513	103	35	-1	
5	1	6	1	1	1	477	513	103	35	19.958458	PSOE
4	1	6	1	2	0	23	564	50	14	-1	
5	1	6	1	2	1	23	564	50	14	0.300690	Neviesi
4	1	6	1	3	0	4	584	86	14	-1	
5	1	6	1	3	1	4	584	65	14	0.000000	Pecinilun
5	1	6	1	3	2	75	586	15	12	71.982635	17
4	1	6	1	4	0	33	621	22	12	-1	
5	1	6	1	4	1	33	621	22	12	0.000000	s
4	1	6	1	5	0	30	631	12	11	-1	
5	1	6	1	5	1	30	631	12	11	61.168159	>
4	1	6	1	6	0	44	630	15	28	-1	
5	1	6	1	6	1	44	630	15	28	43.317451	g
2	1	7	0	0	0	9	666	76	34	-1	
3	1	7	1	0	0	9	666	76	34	-1	
4	1	7	1	1	0	9	666	76	14	-1	
5	1	7	1	1	1	9	666	48	14	44.594589	Oracle
5	1	7	1	1	2	60	667	25	13	12.976547	Vill
4	1	7	1	2	0	10	686	74	14	-1	
5	1	7	1	2	1	10	686	74	14	0.000000	Vinuriliox
2	1	8	0	0	0	0	703	1920	66	-1	
3	1	8	1	0	0	0	703	1920	66	-1	
4	1	8	1	1	0	16	703	1904	34	-1	
5	1	8	1	1	1	16	703	1904	34	95.000000	 
4	1	8	1	2	0	0	737	148	32	-1	
5	1	8	1	2	1	0	737	148	32	95.000000	 
2	1	9	0	0	0	0	769	1920	311	-1	
3	1	9	1	0	0	0	769	1920	311	-1	
4	1	9	1	1	0	0	769	1920	170	-1	
5	1	9	1	1	1	0	769	1920	170	95.000000	 
4	1	9	1	2	0	0	939	1920	141	-1	
5	1	9	1	2	1	0	939	1920	141	95.000000	   
2	1	10	0	0	0	632	117	992	20	-1	
3	1	10	1	0	0	632	117	992	20	-1	
4	1	10	1	1	0	632	117	992	20	-1	
5	1	10	1	1	1	632	119	138	17	0.000000	RIZE
5	1	10	1	1	2	1520	121	15	15	46.700546	=
5	1	10	1	1	3	1546	117	20	20	53.857689	@
5	1	10	1	1	4	1577	121	47	15	16.020874	uF
2	1	11	0	0	0	725	199	179	20	-1	
3	1	11	1	0	0	725	199	179	20	-1	
4	1	11	1	1	0	725	199	179	20	-1	
5	1	11	1	1	1	725	200	56	19	39.444855	ERE
5	1	11	1	1	2	791	195	113	34	32.656982	RAMSAR
2	1	12	0	0	0	729	241	895	69	-1	
3	1	12	1	0	0	729	241	895	69	-1	
4	1	12	1	1	0	729	241	895	20	-1	
5	1	12	1	1	1	729	246	4	11	81.487831	1.
5	1	12	1	1	2	745	241	75	18	49.167259	ZS:
5	1	12	1	1	3	833	244	26	13	73.677376	GUI
5	1	12	1	1	4	875	237	23	30	0.000000	SS
5	1	12	1	1	5	901	242	52	17	0.000000	feaBY
5	1	12	1	1	6	963	248	124	12	88.054214	engage_screen
5	1	12	1	1	7	1098	242	144	18	0.000000	MIHMRRCRWT,
5	1	12	1	1	8	1255	242	139	17	20.098907	IEAM
5	1	12	1	1	9	1406	242	128	18	0.000000	(GZBCEAH
5	1	12	1	1	10	1541	243	83	18	90.688423	mouse/key
4	1	12	1	2	0	745	266	873	19	-1	
