level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1900	-1	
2	1	1	0	0	0	0	0	1080	998	-1	
3	1	1	1	0	0	0	0	1080	998	-1	
4	1	1	1	1	0	32	0	1048	85	-1	
5	1	1	1	1	1	32	0	1048	85	95.000000	 
4	1	1	1	2	0	142	85	938	255	-1	
5	1	1	1	2	1	142	85	938	255	95.000000	     
4	1	1	1	3	0	976	340	104	131	-1	
5	1	1	1	3	1	976	340	104	131	95.000000	   
4	1	1	1	4	0	977	471	103	117	-1	
5	1	1	1	4	1	977	471	103	117	95.000000	   
4	1	1	1	5	0	977	588	103	289	-1	
5	1	1	1	5	1	977	588	103	289	95.000000	   
4	1	1	1	6	0	0	877	1080	121	-1	
5	1	1	1	6	1	0	937	154	61	95.000000	 
5	1	1	1	6	2	977	877	103	60	95.000000	 
2	1	2	0	0	0	790	98	24	2	-1	
3	1	2	1	0	0	790	98	24	2	-1	
4	1	2	1	1	0	790	98	24	2	-1	
5	1	2	1	1	1	790	98	24	2	95.000000	 
2	1	3	0	0	0	790	98	2	24	-1	
3	1	3	1	0	0	790	98	2	24	-1	
4	1	3	1	1	0	790	98	2	24	-1	
5	1	3	1	1	1	790	98	2	24	95.000000	 
2	1	4	0	0	0	812	98	2	24	-1	
3	1	4	1	0	0	812	98	2	24	-1	
4	1	4	1	1	0	812	98	2	24	-1	
5	1	4	1	1	1	812	98	2	24	95.000000	 
2	1	5	0	0	0	4	98	138	26	-1	
3	1	5	1	0	0	4	98	138	26	-1	
4	1	5	1	1	0	4	98	138	26	-1	
5	1	5	1	1	1	4	98	138	26	36.071808	Az
5	1	5	1	1	2	64	94	12	43	30.230705	-
5	1	5	1	1	3	86	98	56	26	59.448696	308
2	1	6	0	0	0	2	102	2	22	-1	
3	1	6	1	0	0	2	102	2	22	-1	
4	1	6	1	1	0	2	102	2	22	-1	
5	1	6	1	1	1	2	102	2	22	95.000000	 
2	1	7	0	0	0	790	120	24	2	-1	
3	1	7	1	0	0	790	120	24	2	-1	
4	1	7	1	1	0	790	120	24	2	-1	
5	1	7	1	1	1	790	120	24	2	95.000000	 
2	1	8	0	0	0	0	192	360	32	-1	
3	1	8	1	0	0	0	192	360	32	-1	
4	1	8	1	1	0	0	192	360	32	-1	
5	1	8	1	1	1	0	194	16	30	52.135906	B
5	1	8	1	1	2	40	194	187	26	0.000000	ASBSeHb:
5	1	8	1	1	3	247	192	113	28	48.597790	DA...
2	1	9	0	0	0	16	292	219	32	-1	
3	1	9	1	0	0	16	292	272	32	-1	
4	1	9	1	1	0	16	292	219	32	-1	
5	1	9	1	1	1	16	292	219	32	0.000000	ABH:
5	1	9	1	1	2	260	314	28	6	74.485176	...
2	1	10	0	0	0	35	420	751	2	-1	
3	1	10	1	0	0	35	420	751	2	-1	
4	1	10	1	1	0	35	420	751	2	-1	
5	1	10	1	1	1	35	420	751	2	95.000000	 
2	1	11	0	0	0	198	420	588	2	-1	
3	1	11	1	0	0	198	420	588	2	-1	
4	1	11	1	1	0	198	420	588	2	-1	
5	1	11	1	1	1	198	420	588	2	95.000000	 
2	1	12	0	0	0	454	420	332	2	-1	
3	1	12	1	0	0	454	420	332	2	-1	
4	1	12	1	1	0	454	420	332	2	-1	
5	1	12	1	1	1	454	420	332	2	95.000000	 
2	1	13	0	0	0	623	424	163	2	-1	
3	1	13	1	0	0	623	424	163	2	-1	
4	1	13	1	1	0	623	424	163	2	-1	
5	1	13	1	1	1	623	424	163	2	95.000000	 
2	1	14	0	0	0	35	428	368	5	-1	
3	1	14	1	0	0	35	428	368	5	-1	
4	1	14	1	1	0	35	428	368	5	-1	
