level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	840	126	-1	
2	1	1	0	0	0	39	0	669	109	-1	
3	1	1	1	0	0	39	0	669	109	-1	
4	1	1	1	1	0	39	0	669	32	-1	
5	1	1	1	1	1	39	0	53	25	68.559708	=>
5	1	1	1	1	2	108	0	24	32	41.846161	hee
5	1	1	1	1	3	142	0	38	32	33.728844	HEM
5	1	1	1	1	4	204	0	37	27	8.273842	1A
5	1	1	1	1	5	254	0	67	32	8.273842	SRE
5	1	1	1	1	6	330	0	46	15	91.347145	me
5	1	1	1	1	7	383	0	79	27	30.841705	ed
5	1	1	1	1	8	471	0	82	15	41.261826	pire
5	1	1	1	1	9	562	0	128	31	0.000000	Viva
5	1	1	1	1	10	702	0	6	15	16.536560	'
4	1	1	1	2	0	43	48	408	61	-1	
5	1	1	1	2	1	43	48	45	51	36.877445	©
5	1	1	1	2	2	114	60	337	49	0.000000	WloveMey-ter-Mireun)|
