level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1788	360	-1	
2	1	1	0	0	0	27	0	950	359	-1	
3	1	1	1	0	0	27	0	950	359	-1	
4	1	1	1	1	0	71	0	585	27	-1	
5	1	1	1	1	1	71	0	281	27	0.000000	WE
5	1	1	1	1	2	631	9	25	15	67.701157	4
4	1	1	1	2	0	459	149	505	43	-1	
5	1	1	1	2	1	459	155	27	27	90.138931	Q
5	1	1	1	2	2	508	158	59	26	96.487396	搜索
5	1	1	1	2	3	921	149	43	43	72.524261	中
4	1	1	1	3	0	37	193	220	42	-1	
5	1	1	1	3	1	37	201	13	16	92.552383	G
5	1	1	1	3	2	59	207	28	10	64.478668	ole
5	1	1	1	3	3	95	193	49	42	64.884735	gle
5	1	1	1	3	4	221	200	12	23	33.219635	Tj
5	1	1	1	3	5	247	209	10	11	33.210320	<
4	1	1	1	4	0	27	238	118	25	-1	
5	1	1	1	4	1	27	238	118	25	63.428257	Chrome
4	1	1	1	5	0	308	265	669	91	-1	
5	1	1	1	5	1	308	277	78	60	83.715485	@
5	1	1	1	5	2	437	265	91	91	28.501045	外
5	1	1	1	5	3	571	269	103	35	93.201271	【四
5	1	1	1	5	4	639	261	38	53	92.179321	海
5	1	1	1	5	5	693	273	59	35	35.861717	】@@.
5	1	1	1	5	6	787	272	33	28	0.000000	己
5	1	1	1	5	7	841	275	136	24	35.676247	2024/04/24
4	1	1	1	6	0	88	321	881	38	-1	
5	1	1	1	6	1	88	346	35	13	40.628338	ue
5	1	1	1	6	2	554	325	154	27	93.232368	花生
5	1	1	1	6	3	622	312	33	48	92.899399	妹
5	1	1	1	6	4	655	312	27	48	87.898666	喝
5	1	1	1	6	5	682	312	18	48	88.846313	好
5	1	1	1	6	6	700	312	12	48	84.926445	:
5	1	1	1	6	7	720	325	198	27	0.000000	Seite...
5	1	1	1	6	8	951	321	18	25	7.559090	Y
