level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	894	647	-1	
2	1	1	0	0	0	5	28	38	15	-1	
3	1	1	1	0	0	5	28	38	15	-1	
4	1	1	1	1	0	5	28	38	15	-1	
5	1	1	1	1	1	5	28	38	15	37.381950	NA
2	1	2	0	0	0	69	30	16	8	-1	
3	1	2	1	0	0	69	30	16	8	-1	
4	1	2	1	1	0	69	30	16	8	-1	
5	1	2	1	1	1	69	30	16	8	68.470306	ce
2	1	3	0	0	0	495	94	385	20	-1	
3	1	3	1	0	0	495	94	385	20	-1	
4	1	3	1	1	0	495	94	385	20	-1	
5	1	3	1	1	1	491	90	11	32	57.002625	[【
5	1	3	1	1	2	502	95	79	17	43.047680	荣
5	1	3	1	1	3	531	90	16	32	78.972221	止
5	1	3	1	1	4	547	95	34	17	93.098297	回复
5	1	3	1	1	5	590	94	108	20	39.571114	】G@23
5	1	3	1	1	6	631	90	16	32	92.991096	下
5	1	3	1	1	7	647	94	44	20	78.658562	半年
5	1	3	1	1	8	711	99	13	12	96.509201	笔试
5	1	3	1	1	9	725	90	34	32	68.876022	旗舰
5	1	3	1	1	10	761	95	12	15	85.856888	班
5	1	3	1	1	11	777	90	34	32	96.860306	通知
5	1	3	1	1	12	813	96	35	17	85.132828	(333)
5	1	3	1	1	13	857	94	23	20	30.199837	OQ.
2	1	4	0	0	0	58	132	21	12	-1	
3	1	4	1	0	0	58	132	21	12	-1	
4	1	4	1	1	0	58	132	21	12	-1	
5	1	4	1	1	1	58	132	21	12	37.815727	ith
2	1	5	0	0	0	101	84	143	53	-1	
3	1	5	1	0	0	101	84	143	53	-1	
4	1	5	1	1	0	101	84	143	53	-1	
5	1	5	1	1	1	101	84	27	53	39.736134	ae
5	1	5	1	1	2	191	96	13	13	75.305069	QQ
5	1	5	1	1	3	215	97	29	13	92.831436	搜索
2	1	6	0	0	0	568	133	30	6	-1	
3	1	6	1	0	0	568	133	30	6	-1	
4	1	6	1	1	0	568	133	30	6	-1	
5	1	6	1	1	1	568	133	30	6	89.882256	eve.
2	1	7	0	0	0	638	133	188	9	-1	
3	1	7	1	0	0	638	133	188	9	-1	
4	1	7	1	1	0	638	133	188	9	-1	
5	1	7	1	1	1	638	133	20	6	73.591423	cu
5	1	7	1	1	2	669	133	48	9	62.061752	WA)
5	1	7	1	1	3	733	133	93	6	0.000000	Taureeccuv
2	1	8	0	0	0	568	157	29	1	-1	
3	1	8	1	0	0	568	157	29	1	-1	
4	1	8	1	1	0	568	157	29	1	-1	
5	1	8	1	1	1	568	157	29	1	61.361542	一
5	1	8	1	1	2	590	139	11	28	49.244865	一
2	1	9	0	0	0	682	157	37	1	-1	
3	1	9	1	0	0	682	157	37	1	-1	
4	1	9	1	1	0	682	157	37	1	-1	
5	1	9	1	1	1	682	157	37	1	0.000000	a
2	1	10	0	0	0	247	153	124	19	-1	
3	1	10	1	0	0	247	153	124	19	-1	
4	1	10	1	1	0	247	153	124	19	-1	
5	1	10	1	1	1	247	153	34	17	93.121323	[四
5	1	10	1	1	2	291	153	7	17	91.718117	海
5	1	10	1	1	3	298	141	8	40	88.041031	]
5	1	10	1	1	4	308	155	29	17	77.144310	@..
5	1	10	1	1	5	355	155	16	13	24.020851	©
2	1	11	0	0	0	116	151	109	45	-1	
3	1	11	1	0	0	116	151	109	45	-1	
4	1	11	1	1	0	116	151	109	45	-1	
5	1	11	1	1	1	116	151	109	45	53.086998	°®
2	1	12	0	0	0	239	181	176	15	-1	
3	1	12	1	0	0	239	181	176	15	-1	
4	1	12	1	1	0	239	181	176	15	-1	
5	1	12	1	1	1	239	181	37	15	40.597763	[车
5	1	12	1	1	2	264	177	12	26	18.986069	稿
5	1	12	1	1	3	275	177	6	26	82.684448	]
5	1	12	1	1	4	291	181	13	13	92.532013	心
5	1	12	1	1	5	306	181	12	13	90.436470	驰
5	1	12	1	1	6	319	181	14	13	93.215576	神
5	1	12	1	1	7	335	184	8	10	93.141830	往
5	1	12	1	1	8	345	185	18	8	93.050064	xin
5	1	12	1	1	9	365	181	50	13	10.699783	cishen.
2	1	13	0	0	0	569	171	325	21	-1	
3	1	13	1	0	0	569	171	325	21	-1	
4	1	13	1	1	0	569	171	325	21	-1	
5	1	13	1	1	1	569	171	57	21	61.059212	Ons:
5	1	13	1	1	2	645	173	87	18	38.401257	TWEE
5	1	13	1	1	3	742	173	79	18	0.000000	Hee
5	1	13	1	1	4	832	173	62	18	34.361290	(a)
2	1	14	0	0	0	121	224	20	12	-1	
3	1	14	1	0	0	121	224	20	12	-1	
4	1	14	1	1	0	121	224	20	12	-1	
5	1	14	1	1	1	121	224	20	12	56.298271	O=
2	1	15	0	0	0	747	238	147	13	-1	
3	1	15	1	0	0	747	238	147	13	-1	
4	1	15	1	1	0	747	238	147	13	-1	
5	1	15	1	1	1	747	238	112	13	7.384148	20234118198
5	1	15	1	1	2	868	239	26	11	47.851524	164
