level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	894	647	-1	
2	1	1	0	0	0	22	29	21	14	-1	
3	1	1	1	0	0	22	29	21	14	-1	
4	1	1	1	1	0	22	29	21	14	-1	
5	1	1	1	1	1	22	29	21	14	64.921585	FA
2	1	2	0	0	0	66	37	20	5	-1	
3	1	2	1	0	0	66	37	20	5	-1	
4	1	2	1	1	0	66	37	20	5	-1	
5	1	2	1	1	1	66	37	20	5	61.894669	(ee
2	1	3	0	0	0	69	30	14	8	-1	
3	1	3	1	0	0	69	30	14	8	-1	
4	1	3	1	1	0	69	30	14	8	-1	
5	1	3	1	1	1	69	30	14	8	28.356415	ee
2	1	4	0	0	0	422	93	21	21	-1	
3	1	4	1	0	0	422	93	21	21	-1	
4	1	4	1	1	0	422	93	21	21	-1	
5	1	4	1	1	1	422	93	21	21	59.387856	®
2	1	5	0	0	0	101	84	143	53	-1	
3	1	5	1	0	0	101	84	143	53	-1	
4	1	5	1	1	0	101	84	143	53	-1	
5	1	5	1	1	1	101	84	27	53	39.736134	ae
5	1	5	1	1	2	191	96	13	13	75.305069	QQ
5	1	5	1	1	3	215	97	29	13	92.831436	搜索
2	1	6	0	0	0	59	132	19	12	-1	
3	1	6	1	0	0	59	132	19	12	-1	
4	1	6	1	1	0	59	132	19	12	-1	
5	1	6	1	1	1	59	132	19	12	58.330574	Gil
2	1	7	0	0	0	247	153	203	19	-1	
3	1	7	1	0	0	247	153	203	19	-1	
4	1	7	1	1	0	247	153	203	19	-1	
5	1	7	1	1	1	247	153	51	17	0.000000	[0G%8]
5	1	7	1	1	2	308	155	29	17	14.906830	©...
5	1	7	1	1	3	355	154	16	15	40.118233	2
5	1	7	1	1	4	382	156	68	10	90.220917	2024/04/24
2	1	8	0	0	0	238	181	157	13	-1	
3	1	8	1	0	0	238	181	157	13	-1	
4	1	8	1	1	0	238	181	157	13	-1	
5	1	8	1	1	1	238	181	74	13	62.692291	花生
5	1	8	1	1	2	273	177	17	26	92.575111	妹
5	1	8	1	1	3	289	177	14	26	91.497978	喝
5	1	8	1	1	4	302	177	9	26	93.288780	好
5	1	8	1	1	5	310	177	7	26	86.438087	:
5	1	8	1	1	6	326	181	9	13	92.377357	省
5	1	8	1	1	7	342	181	18	13	93.197304	考
5	1	8	1	1	8	359	177	21	26	89.833832	面试
5	1	8	1	1	9	388	181	7	11	72.259094	越
2	1	9	0	0	0	437	190	7	1	-1	
3	1	9	1	0	0	437	190	7	1	-1	
4	1	9	1	1	0	437	190	7	1	-1	
