level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	894	647	-1	
2	1	1	0	0	0	82	0	135	21	-1	
3	1	1	1	0	0	82	0	135	21	-1	
4	1	1	1	1	0	82	0	135	21	-1	
5	1	1	1	1	1	82	0	53	36	41.198029	ge
5	1	1	1	1	2	172	0	45	32	30.967346	6
2	1	2	0	0	0	272	2	38	19	-1	
3	1	2	1	0	0	272	2	38	19	-1	
4	1	2	1	1	0	272	2	38	19	-1	
5	1	2	1	1	1	272	2	38	19	28.048370	tS)
2	1	3	0	0	0	349	28	48	4	-1	
3	1	3	1	0	0	349	28	48	4	-1	
4	1	3	1	1	0	349	28	48	4	-1	
5	1	3	1	1	1	349	28	48	4	1.106453	Fa
2	1	4	0	0	0	480	9	22	12	-1	
3	1	4	1	0	0	480	9	22	12	-1	
4	1	4	1	1	0	480	9	22	12	-1	
5	1	4	1	1	1	480	9	22	12	30.334938	se
2	1	5	0	0	0	14	28	29	13	-1	
3	1	5	1	0	0	14	28	29	13	-1	
4	1	5	1	1	0	14	28	29	13	-1	
5	1	5	1	1	1	14	28	29	13	8.217651	IS
2	1	6	0	0	0	67	29	31	11	-1	
3	1	6	1	0	0	67	29	31	11	-1	
4	1	6	1	1	0	67	29	31	11	-1	
5	1	6	1	1	1	67	29	31	11	44.488964	cy
2	1	7	0	0	0	220	104	22	6	-1	
3	1	7	1	0	0	220	104	22	6	-1	
4	1	7	1	1	0	220	104	22	6	-1	
5	1	7	1	1	1	220	104	22	6	93.616287	搜索
2	1	8	0	0	0	221	98	19	7	-1	
3	1	8	1	0	0	221	98	19	7	-1	
4	1	8	1	1	0	221	98	19	7	-1	
5	1	8	1	1	1	221	98	19	7	30.551613	2s
2	1	9	0	0	0	422	93	21	21	-1	
3	1	9	1	0	0	422	93	21	21	-1	
4	1	9	1	1	0	422	93	21	21	-1	
5	1	9	1	1	1	422	93	21	21	59.387856	®
2	1	10	0	0	0	495	94	168	20	-1	
3	1	10	1	0	0	495	94	168	20	-1	
4	1	10	1	1	0	495	94	168	20	-1	
5	1	10	1	1	1	495	95	51	17	19.482178	(Otis)
