level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3840	90	-1	
2	1	1	0	0	0	1565	0	553	14	-1	
3	1	1	1	0	0	1565	0	553	14	-1	
4	1	1	1	1	0	1565	0	553	14	-1	
5	1	1	1	1	1	1565	0	57	13	23.769691	RNR
5	1	1	1	1	2	1635	0	32	13	13.838692	GS
5	1	1	1	1	3	1683	0	26	14	27.438034	2
5	1	1	1	1	4	1741	0	58	14	27.438034	OR]
5	1	1	1	1	5	1814	0	94	14	53.843452	EE
5	1	1	1	1	6	1927	0	14	23	0.000000	a
5	1	1	1	1	7	1930	0	93	14	0.000000	—EEE
5	1	1	1	1	8	2043	0	75	14	43.548492	se
2	1	2	0	0	0	3280	32	398	38	-1	
3	1	2	1	0	0	3280	32	398	38	-1	
4	1	2	1	1	0	3280	32	398	38	-1	
5	1	2	1	1	1	3280	38	140	28	21.575005	an
5	1	2	1	1	2	3620	42	58	22	96.320854	1:55
