level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1511	969	-1	
2	1	1	0	0	0	472	91	994	20	-1	
3	1	1	1	0	0	472	91	994	20	-1	
4	1	1	1	1	0	472	91	994	20	-1	
5	1	1	1	1	1	472	93	102	17	0.000000	RCIZAERER
5	1	1	1	1	2	1361	91	46	20	22.485039	«6
5	1	1	1	1	3	1418	95	48	15	0.000000	euF
2	1	2	0	0	0	566	173	180	20	-1	
3	1	2	1	0	0	566	173	180	20	-1	
4	1	2	1	1	0	566	173	180	20	-1	
5	1	2	1	1	1	566	169	56	34	33.213791	ERE
5	1	2	1	1	2	632	173	114	20	16.316849	RMS
2	1	3	0	0	0	570	215	899	239	-1	
3	1	3	1	0	0	570	215	896	69	-1	
4	1	3	1	1	0	570	215	896	20	-1	
5	1	3	1	1	1	570	220	11	11	84.286652	1.
5	1	3	1	1	2	586	215	76	18	51.778717	ZS:
5	1	3	1	1	3	674	218	27	13	64.587936	GUI
5	1	3	1	1	4	707	216	87	17	0.000000	HSSfaaBY
5	1	3	1	1	5	804	222	124	12	87.580307	engage_screen
5	1	3	1	1	6	939	216	145	18	0.000000	MIHRERCRWT,
5	1	3	1	1	7	1096	216	140	17	9.848640	(EAE
5	1	3	1	1	8	1247	216	128	18	0.000000	(BEBCEAHN
5	1	3	1	1	9	1382	217	84	18	90.511086	mouse/key
4	1	3	1	2	0	586	240	874	19	-1	
5	1	3	1	2	1	586	241	111	18	0.000000	SEVFRRASHUT)
5	1	3	1	2	2	711	254	3	5	49.225227	,
5	1	3	1	2	3	728	236	60	32	0.000000	FPEOD
5	1	3	1	2	4	803	236	78	32	0.000000	IMCD]
5	1	3	1	2	5	890	246	7	9	91.489990	+
5	1	3	1	2	6	905	241	111	18	20.303391	SUSE;
5	1	3	1	2	7	1027	240	52	19	0.000000	SeRCH
5	1	3	1	2	8	1089	244	125	12	88.182495	TakeoverGuard
5	1	3	1	2	9	1230	242	44	17	71.785439	(RAIl)
5	1	3	1	2	10	1288	236	17	32	0.000000	St
5	1	3	1	2	11	1285	240	76	19	0.000000	—i.
5	1	3	1	2	12	1373	241	87	17	0.000000	ASAI
4	1	3	1	3	0	586	266	515	18	-1	
5	1	3	1	3	1	586	266	35	17	0.266335	8
5	1	3	1	3	2	626	267	114	14	51.740067	Ctrl+Shift+F12
5	1	3	1	3	3	758	266	39	16	0.000000	BAB
5	1	3	1	3	4	807	260	84	33	0.000000	HATER,
5	1	3	1	3	5	906	266	116	17	32.250832	shee)
5	1	3	1	3	6	1030	260	71	33	0.000000	SHeaO.
3	1	3	2	0	0	570	300	899	129	-1	
4	1	3	2	1	0	570	300	797	20	-1	
5	1	3	2	1	1	570	305	11	11	92.016197	2.
5	1	3	2	1	2	592	296	65	32	0.000000	PUTRI
5	1	3	2	1	3	686	296	81	32	0.000000	(FABRE:
5	1	3	2	1	4	779	304	52	16	91.722649	system
5	1	3	2	1	5	838	304	56	16	91.919914	prompt
5	1	3	2	1	6	910	296	56	32	0.000000	BESag
5	1	3	2	1	7	975	303	26	13	91.836769	GUI
5	1	3	2	1	8	1014	301	83	17	0.000000	[SAREE]
5	1	3	2	1	9	1108	301	75	17	0.000000	FiE—
5	1	3	2	1	10	1192	304	86	15	70.060287	show_step
5	1	3	2	1	11	1294	301	47	18	0.000000	GH)
4	1	3	2	2	0	590	326	863	18	-1	
5	1	3	2	2	1	590	328	116	15	76.656662	List_windows
5	1	3	2	2	2	717	333	13	5	43.754234	—
5	1	3	2	2	3	739	328	184	15	91.171486	window_minimize_all
5	1	3	2	2	4	932	328	8	15	92.692177	/
5	1	3	2	2	5	948	328	116	15	92.143829	window_focus
5	1	3	2	2	6	1073	328	8	15	91.295975	/
5	1	3	2	2	7	1089	328	174	16	91.295975	window_set_topmost
5	1	3	2	2	8	1275	333	7	5	88.928696	—
5	1	3	2	2	9	1292	326	55	17	30.897858	##{F
5	1	3	2	2	10	1339	322	8	26	41.138245	~
5	1	3	2	2	11	1357	328	96	16	47.026730	hide_step
5	1	3	2	2	12	1446	322	11	26	47.026730	,
4	1	3	2	3	0	570	385	896	19	-1	
5	1	3	2	3	1	570	390	11	11	92.200615	3.
5	1	3	2	3	2	586	386	146	18	2.455673	RAO:
5	1	3	2	3	3	745	386	86	18	0.000000	ADRSRR
5	1	3	2	3	4	840	389	155	15	87.229385	MAX_TOOL_ROUNDS
5	1	3	2	3	5	993	381	8	29	88.315331	,
5	1	3	2	3	6	1007	386	103	18	0.000000	BUATCIRES
5	1	3	2	3	7	1102	381	11	29	93.252419	+
5	1	3	2	3	8	1121	389	125	15	70.309181	LoopDetector,
5	1	3	2	3	9	1258	385	50	18	0.000000	#SX=
5	1	3	2	3	10	1322	381	66	29	11.723206	[ANS
5	1	3	2	3	11	1404	386	62	17	0.000000	LAAA
4	1	3	2	4	0	586	410	883	19	-1	
5	1	3	2	4	1	586	411	71	18	0.000000	SSS
5	1	3	2	4	2	670	424	3	5	78.005562	,
5	1	3	2	4	3	697	405	34	33	20.200691	S23
5	1	3	2	4	4	739	411	93	18	0.000000	OseSiGl
5	1	3	2	4	5	844	405	19	33	48.728912	ak
5	1	3	2	4	6	870	413	15	13	88.795982	12
5	1	3	2	4	7	898	405	42	33	0.000000	HBO
5	1	3	2	4	8	945	410	132	18	0.000000	ARES
5	1	3	2	4	9	1090	411	117	17	0.000000	RAEN
5	1	3	2	4	10	1250	405	67	33	0.000000	InER,
5	1	3	2	4	11	1329	411	140	17	16.122574	SUMTER
3	1	3	3	0	0	586	436	461	18	-1	
4	1	3	3	1	0	586	436	461	18	-1	
5	1	3	3	1	1	586	436	23	17	58.337521	Ik,
5	1	3	3	1	2	621	436	69	18	0.000000	BSCNEl
5	1	3	3	1	3	702	436	135	18	0.000000	(cA)
5	1	3	3	1	4	849	436	110	18	41.631161	ASHE,
5	1	3	3	1	5	971	436	76	17	33.024330	ARS.
2	1	4	0	0	0	29	475	1389	49	-1	
3	1	4	1	0	0	29	475	1389	49	-1	
4	1	4	1	1	0	174	475	1244	20	-1	
5	1	4	1	1	1	174	480	17	11	78.971802	LU
5	1	4	1	1	2	210	480	44	15	86.634033	Agent
5	1	4	1	1	3	266	478	13	15	36.488628	fe
5	1	4	1	1	4	289	477	45	16	0.000000	(#8)
5	1	4	1	1	5	566	476	140	17	0.000000	BRRUUEB
5	1	4	1	1	6	682	471	22	32	40.494083	IR
5	1	4	1	1	7	717	476	42	17	32.577965	[HUE
5	1	4	1	1	8	764	477	32	14	91.767654	shift
5	1	4	1	1	9	801	475	35	18	13.184280	ASS
5	1	4	1	1	10	842	478	7	13	82.030609	5
5	1	4	1	1	11	855	475	59	18	49.465485	SCE]
5	1	4	1	1	12	927	471	86	32	0.000000	AUERSIMT
5	1	4	1	1	13	1036	471	62	32	0.000000	EES
5	1	4	1	1	14	1106	481	9	9	92.967674	+
5	1	4	1	1	15	1121	476	36	17	29.921280	SES
5	1	4	1	1	16	1163	481	9	9	94.303665	+
5	1	4	1	1	17	1179	475	51	18	37.574196	BES
5	1	4	1	1	18	1237	481	9	9	91.892471	+
5	1	4	1	1	19	1255	471	99	32	0.000000	TEESTUATID
